iter	Passed	Remaining
0	57	57891
1	58	29094
2	58	19486
3	58	14681
4	59	11793
5	59	9865
6	59	8483
7	60	7446
8	60	6639
9	60	5993
10	60	5466
11	61	5029
12	61	4662
13	61	4345
14	61	4069
15	62	3830
16	62	3615
17	62	3427
18	63	3255
19	63	3102
20	63	2963
21	63	2836
22	64	2721
23	64	2616
24	64	2520
25	64	2431
26	65	2347
27	65	2274
28	65	2201
29	66	2134
30	66	2071
31	66	2011
32	66	1957
33	67	1904
34	67	1853
35	67	1807
36	67	1764
37	68	1722
38	68	1682
39	68	1645
40	68	1609
41	69	1574
42	69	1541
43	69	1510
44	69	1480
45	70	1452
46	70	1424
47	70	1398
48	70	1373
49	71	1349
50	71	1325
51	71	1303
52	71	1281
53	71	1260
54	72	1240
55	72	1222
56	72	1203
57	73	1186
58	73	1169
59	73	1152
60	73	1135
61	74	1119
62	74	1103
63	74	1089
64	74	1074
65	74	1060
66	75	1046
67	75	1033
68	75	1019
69	75	1007
70	76	994
71	76	982
72	76	970
73	76	959
74	76	948
75	77	937
76	77	927
77	77	917
78	77	907
79	78	898
80	78	888
81	78	879
82	78	868
83	78	859
84	79	851
85	79	842
86	79	834
87	79	826
88	79	818
89	80	810
90	80	802
91	80	795
92	80	788
93	81	781
94	81	774
95	81	767
96	81	761
97	81	754
98	82	748
99	82	742
100	82	736
101	82	730
102	83	724
103	83	718
104	83	712
105	83	706
106	84	701
107	84	695
108	84	690
109	84	684
110	84	679
111	85	674
112	85	669
113	85	664
114	85	659
115	85	655
116	86	649
117	86	645
118	86	640
119	86	636
120	86	631
121	87	627
122	87	622
123	87	618
124	87	614
125	88	610
126	88	605
127	88	601
128	88	598
129	88	594
130	88	590
131	89	586
132	89	582
133	89	579
134	89	575
135	90	572
136	90	568
137	90	565
138	90	561
139	90	558
140	91	555
141	91	551
142	91	547
143	91	544
144	91	541
145	92	538
146	92	535
147	92	532
148	92	529
149	92	526
150	93	523
151	93	520
152	93	518
153	93	515
154	94	512
155	94	510
156	94	507
157	94	504
158	94	502
159	95	499
160	95	496
161	95	493
162	95	491
163	95	489
164	96	486
165	96	484
166	96	482
167	96	479
168	97	477
169	97	474
170	97	472
171	97	470
172	97	468
173	98	466
174	98	463
175	98	461
176	98	459
177	99	457
178	99	455
179	99	453
180	99	451
181	99	449
182	100	447
183	100	445
184	100	443
185	100	441
186	100	438
187	101	436
188	101	435
189	101	433
190	101	431
191	102	429
192	102	427
193	102	425
194	102	423
195	102	421
196	103	420
197	103	418
198	103	416
199	103	415
200	103	413
201	104	411
202	104	409
203	104	408
204	104	406
205	105	404
206	105	403
207	105	401
208	105	399
209	105	398
210	106	396
211	106	395
212	106	393
213	106	392
214	107	390
215	107	389
216	107	387
217	107	386
218	107	384
219	108	383
220	108	381
221	108	380
222	108	378
223	108	377
224	109	376
225	109	374
226	109	373
227	109	372
228	110	370
229	110	369
230	110	368
231	110	366
232	111	365
233	111	364
234	111	362
235	111	361
236	111	360
237	112	358
238	112	357
239	112	356
240	112	355
241	112	353
242	113	352
243	113	351
244	113	350
245	113	348
246	114	347
247	114	346
248	114	345
249	114	344
250	114	342
251	115	341
252	115	340
253	115	339
254	115	338
255	116	337
256	116	336
257	116	334
258	116	333
259	116	332
260	117	331
261	117	330
262	117	329
263	117	328
264	117	327
265	118	325
266	118	324
267	118	323
268	118	322
269	119	321
270	119	320
271	119	319
272	119	318
273	119	317
274	120	316
275	120	315
276	120	314
277	120	313
278	120	312
279	121	311
280	121	310
281	121	309
282	121	308
283	121	307
284	122	306
285	122	305
286	122	304
287	122	303
288	123	302
289	123	301
290	123	301
291	123	300
292	124	299
293	124	298
294	124	297
295	124	296
296	124	295
297	125	294
298	125	293
299	125	292
300	125	291
301	125	291
302	126	290
303	126	289
304	126	288
305	126	287
306	127	286
307	127	285
308	127	285
309	127	284
310	127	283
311	128	282
312	128	281
313	128	280
314	128	280
315	129	279
316	129	278
317	129	277
318	129	277
319	130	276
320	130	275
321	130	274
322	130	274
323	131	273
324	131	272
325	131	271
326	131	271
327	131	270
328	132	269
329	132	268
330	132	268
331	132	267
332	133	266
333	133	265
334	133	264
335	133	264
336	133	263
337	134	262
338	134	261
339	134	261
340	134	260
341	134	259
342	135	258
343	135	258
344	135	257
345	135	256
346	136	256
347	136	255
348	137	255
349	137	255
350	137	254
351	137	253
352	138	253
353	138	252
354	138	251
355	138	250
356	138	250
357	139	249
358	139	248
359	139	248
360	139	247
361	140	246
362	140	246
363	140	245
364	140	244
365	140	244
366	141	243
367	141	242
368	141	241
369	141	241
370	141	240
371	142	239
372	142	239
373	142	238
374	142	238
375	143	237
376	143	236
377	144	237
378	144	236
379	144	236
380	144	235
381	145	234
382	145	234
383	145	233
384	145	232
385	145	232
386	146	231
387	146	230
388	146	230
389	146	229
390	147	228
391	147	228
392	147	227
393	147	227
394	148	226
395	148	226
396	148	225
397	148	224
398	148	224
399	149	223
400	149	223
401	149	222
402	149	221
403	150	221
404	150	220
405	150	220
406	150	219
407	150	218
408	151	218
409	151	217
410	151	217
411	151	216
412	151	215
413	152	215
414	152	214
415	152	214
416	152	213
417	153	213
418	153	212
419	153	211
420	153	211
421	153	210
422	154	210
423	154	209
424	154	208
425	154	208
426	154	207
427	155	207
428	155	206
429	155	206
430	155	205
431	156	205
432	156	204
433	156	204
434	156	203
435	157	203
436	157	202
437	157	202
438	157	201
439	157	200
440	158	200
441	158	199
442	158	199
443	158	198
444	159	198
445	159	198
446	159	197
447	159	197
448	160	196
449	160	195
450	160	195
451	160	194
452	161	194
453	161	193
454	161	193
455	161	192
456	161	192
457	162	191
458	162	191
459	162	190
460	162	190
461	163	189
462	163	189
463	163	188
464	163	188
465	163	187
466	164	187
467	164	186
468	164	186
469	164	185
470	165	185
471	165	185
472	165	184
473	165	184
474	166	183
475	166	183
476	166	182
477	166	182
478	166	181
479	167	181
480	167	180
481	167	180
482	167	179
483	168	179
484	168	178
485	168	178
486	168	177
487	169	177
488	169	177
489	169	176
490	169	176
491	170	175
492	170	175
493	170	174
494	170	174
495	171	173
496	171	173
497	171	172
498	171	172
499	171	171
500	172	171
501	172	171
502	172	170
503	172	170
504	173	169
505	173	169
506	173	168
507	173	168
508	173	167
509	174	167
510	174	166
511	174	166
512	174	165
513	174	165
514	175	164
515	175	164
516	175	164
517	175	163
518	175	163
519	176	162
520	176	162
521	176	161
522	176	161
523	177	160
524	177	160
525	177	159
526	177	159
527	177	159
528	178	158
529	178	158
530	178	157
531	178	157
532	178	156
533	179	156
534	179	155
535	179	155
536	179	154
537	179	154
538	180	154
539	180	153
540	180	153
541	180	152
542	181	152
543	181	151
544	181	151
545	181	151
546	181	150
547	182	150
548	182	149
549	182	149
550	182	148
551	183	148
552	183	148
553	183	147
554	183	147
555	183	146
556	184	146
557	184	146
558	184	145
559	184	145
560	185	144
561	185	144
562	185	143
563	185	143
564	185	143
565	186	142
566	186	142
567	186	141
568	186	141
569	186	141
570	187	140
571	187	140
572	187	139
573	187	139
574	188	138
575	188	138
576	188	138
577	189	138
578	189	137
579	189	137
580	189	136
581	190	136
582	190	136
583	190	135
584	190	135
585	190	134
586	191	134
587	191	134
588	192	134
589	192	133
590	192	133
591	192	132
592	193	132
593	193	132
594	193	131
595	193	131
596	194	131
597	194	130
598	194	130
599	194	129
600	194	129
601	195	128
602	195	128
603	195	128
604	195	127
605	195	127
606	196	126
607	196	126
608	196	126
609	196	125
610	196	125
611	197	125
612	197	124
613	197	124
614	197	123
615	198	123
616	198	123
617	198	122
618	198	122
619	198	121
620	199	121
621	199	121
622	199	120
623	199	120
624	199	119
625	200	119
626	200	119
627	200	118
628	200	118
629	201	118
630	201	117
631	201	117
632	201	116
633	202	116
634	202	116
635	202	115
636	202	115
637	202	115
638	203	114
639	203	114
640	203	114
641	203	113
642	204	113
643	204	112
644	204	112
645	204	112
646	204	111
647	205	111
648	205	111
649	205	110
650	205	110
651	205	109
652	206	109
653	206	109
654	206	108
655	206	108
656	207	108
657	207	107
658	207	107
659	207	107
660	207	106
661	208	106
662	208	105
663	208	105
664	208	105
665	209	104
666	209	104
667	209	104
668	209	103
669	209	103
670	210	103
671	210	102
672	210	102
673	210	101
674	210	101
675	211	101
676	211	100
677	211	100
678	211	100
679	212	99
680	212	99
681	212	99
682	212	98
683	212	98
684	213	98
685	213	97
686	213	97
687	213	97
688	214	96
689	214	96
690	214	95
691	214	95
692	215	95
693	215	94
694	215	94
695	215	94
696	215	93
697	216	93
698	216	93
699	216	92
700	216	92
701	217	92
702	217	91
703	217	91
704	217	91
705	217	90
706	218	90
707	218	90
708	218	89
709	218	89
710	218	88
711	219	88
712	219	88
713	219	88
714	219	87
715	220	87
716	220	86
717	220	86
718	220	86
719	221	85
720	221	85
721	221	85
722	221	84
723	221	84
724	222	84
725	222	83
726	222	83
727	222	83
728	223	82
729	223	82
730	223	82
731	223	81
732	223	81
733	224	81
734	224	80
735	224	80
736	224	80
737	225	79
738	225	79
739	225	79
740	225	78
741	226	78
742	226	78
743	226	77
744	226	77
745	226	77
746	227	76
747	227	76
748	227	76
749	227	75
750	227	75
751	228	75
752	228	74
753	228	74
754	228	74
755	229	73
756	229	73
757	229	73
758	229	72
759	229	72
760	230	72
761	230	71
762	230	71
763	230	71
764	230	70
765	231	70
766	231	70
767	231	69
768	231	69
769	231	69
770	232	68
771	232	68
772	232	68
773	232	67
774	233	67
775	233	67
776	233	67
777	233	66
778	233	66
779	234	66
780	234	65
781	234	65
782	234	65
783	235	64
784	235	64
785	235	64
786	235	63
787	236	63
788	236	63
789	236	62
790	236	62
791	236	62
792	237	61
793	237	61
794	237	61
795	237	60
796	238	60
797	238	60
798	238	59
799	238	59
800	238	59
801	239	59
802	239	58
803	239	58
804	239	58
805	239	57
806	240	57
807	240	57
808	240	56
809	240	56
810	240	56
811	241	55
812	241	55
813	241	55
814	241	54
815	242	54
816	242	54
817	242	53
818	242	53
819	242	53
820	243	53
821	243	52
822	243	52
823	243	52
824	243	51
825	244	51
826	244	51
827	244	50
828	244	50
829	245	50
830	245	49
831	245	49
832	245	49
833	245	48
834	246	48
835	246	48
836	246	48
837	246	47
838	247	47
839	247	47
840	247	46
841	247	46
842	247	46
843	248	45
844	248	45
845	248	45
846	248	44
847	248	44
848	249	44
849	249	43
850	249	43
851	249	43
852	249	43
